id1,id2,together
30250265628,42309308800,1
32522034348,38238959265,1
33451382884,46563400505,1
33484121433,33609188318,1
33371590838,43401121214,1
33451474208,44916799714,1
33451382884,33484121433,1
44726583155,47205545022,1
27260631267,45213106325,1
43401121214,46452820655,1
48504984106,49443632103,1
33371590838,45585237382,1
19679663642,35761731634,0
29182229067,32396824367,0
35741650874,38011517044,1
29182229067,44069457892,1
44258293590,46074121861,1
19105178304,49580242077,0
18321464092,49068155961,0
44721801585,46394179365,1
33483718703,46563400505,0
19105178304,33016560285,0
29182229067,46687091585,0
19323509279,44721801585,0
35741650874,46161086071,1
44722133995,44917055634,1
29182229067,42309308800,1
35716388626,36088202865,1
35741650874,46161152271,1
44727081155,44917055634,1
19105178304,49579515488,0
44916799714,46687091585,1
35761731634,38835341460,0
35741650874,46031924982,1
43401121214,45585237382,0
33910400400,38011517044,0
43823898940,46394179365,1
33371590838,46452820655,1
19105178304,26207911618,0
43401121214,45601668382,0
34205494824,41246056342,1
33579881358,38759813061,1
19105178304,19690183722,0
29182229067,44721801585,0
19323509279,47205545022,0
43823898940,47377163411,1
33910400400,48975235828,1
29182229067,44722185935,0
19323509279,33371590838,0
19323509279,43401121214,0
19105178304,49580241132,0
19509328880,32357719417,0
19323509279,46687091585,0
29182099007,30251576288,1
44294691080,46031924982,1
29182099007,31763454918,0
33371590838,44721801585,1
30364602065,48975235743,1
19679663642,32407396444,0
33609188318,33910400400,1
19509328880,26207911618,0
35240528971,35240539301,1
30249891618,42309323650,1
19509328880,33016560285,0
33451382884,33483718703,1
33910400400,41410851414,1
29182099007,44069457892,1
35240539301,35331071706,1
44294691080,45213106325,1
44722185935,44726583155,1
30364602065,46031924982,1
30250243108,42309323650,1
33371590838,43823898940,1
19690183722,32357719937,0
31307567854,42131024791,1
19530729809,19690183722,1
32106164428,45601668382,1
44726583155,45636096801,1
19679663642,32407453174,0
33484121433,46563400505,0
31763454918,33451474208,1
32357719417,49579515488,1
44722133995,45601668382,0
26207911618,26417136497,0
33483718703,38747001001,0
44722185935,44916799714,1
33371590838,45601668382,0
19530729809,33016560285,0
31930320918,32396824367,1
30250243108,44069039962,1
43823898940,45601668382,0
32357719417,49580014886,1
43823898940,44727081155,1
44572591920,45666320884,1
31177417337,46161152271,1
32106164428,33451474208,0
29182099007,45585237382,0
19323509279,43823898940,0
32396824367,47265630522,1
27836864257,32325998087,0
32212020628,46161086071,1
19690183722,41987403354,0
32396824367,47205545022,1
38011517044,41410851414,1
30364602065,49602054281,1
23967661924,24362706981,1
42131024791,44258293590,1
31307567854,33579881358,1
44726583155,44917055634,1
30251576288,45585237382,0
29182229067,43211253305,1
31930320918,32496348637,0
33484121433,33579881358,1
26207911618,27468401087,0
43401121214,43823898940,0
44721801585,44722133995,1
31763454918,46533396495,1
30250243108,43211253305,1
44726583155,46443515025,0
43211253305,44069457892,1
32106164428,45585237382,0
29182099007,30249874108,0
32407396444,44132675625,0
43823898940,47205545022,1
43401121214,44069039962,0
40420242673,47144894812,1
30249874108,44069457892,1
38835341460,49319224412,0
44258293590,44294691080,1
32309347247,38747118641,1
29182229067,30249874108,0
30251576288,47205545022,0
31763454918,43823898940,1
38011517044,49602054281,1
19530729809,32357719417,1
30364602065,45213106325,1
19690183722,49580241132,0
32106164428,46443515025,0
37987962294,46088835261,1
32212020628,49602054281,1
42309304630,44069460872,1
33594485568,44554042584,0
29182229067,33451474208,0
32212020628,44258293590,1
31930320918,44917055634,0
35716388626,45625182204,1
33579881358,33910400400,1
29182099007,46452820655,0
33016560285,41987403354,0
32357719417,49580242077,1
31177417337,46074121861,1
42309319540,44118267071,1
30249891618,44069463892,1
44069457892,44118267071,1
30364602065,31177417337,1
38011517044,42131024791,1
33609188318,46563400505,1
42309308800,43401121214,0
32212020628,48975235828,1
29182229067,44069039962,0
33579881358,33609188318,1
44572591920,45625182204,1
32522034348,45666320884,1
33371590838,45636096801,0
32890410991,33016560285,1
19105178304,26417136497,0
31763454918,44722133995,1
43401121214,44118267071,1
27399540916,38835341460,0
36088202865,46354026101,1
29180813607,44118267071,1
26952653329,48975235828,1
19530729809,41246056342,0
38011517044,45213106325,1
42309304630,44118267071,1
44722185935,46687091585,1
44721801585,47377163411,0
30250243108,44118267071,1
29180813607,44069039962,1
37987962294,46161086071,1
23831461594,40475311573,0
31177417337,44258293590,1
37987962294,44294691080,1
27399540916,35761731634,0
43211253305,44069460872,1
33016560285,41753567361,1
44294691080,46161086071,1
32106164428,47265630522,0
26952653329,49602054281,1
33484121433,37987962294,0
19690183722,32890410991,0
33451474208,43401121214,0
27260631267,48975235828,1
30251576288,47381495782,0
19323509279,47265630522,0
38238959265,45666320884,1
32890410991,34205494824,1
