id1,id2,together
28984139387,30051400708,1
30679561207,43802921380,0
43950487000,45043115764,1
28984137457,43920779161,1
44803364362,44853241431,1
32023222588,32023225738,1
30940686027,44966617145,1
28984139387,28984552557,1
31826928608,43881623340,1
30955254527,32023224668,1
29433446727,42561525970,1
31761188058,43815662310,0
30051825388,43015594755,1
30639873367,30639877277,1
28984137457,28984552557,1
44604697865,45518728911,1
30051400708,43872179412,1
44668517035,44668518075,1
42507174070,43949589434,1
44803364302,44853241431,1
43649850240,45467042011,1
30869790687,30869792887,1
30426596707,31927868748,1
44828101844,45503112182,0
44828101844,45503110822,1
32023222588,32023223128,1
43763093760,44668517035,0
28984552557,43872179412,1
31693074458,45565555751,1
28984552557,43015594755,1
28984552557,30051825388,1
42561519920,43463077045,1
30773366537,31841905058,1
43426278902,43465047111,1
43015594755,43202385864,1
44083219590,44986516735,1
30051396318,30051400708,1
44803364302,44803364352,1
44552875315,45467037331,1
43815662310,44908754804,1
32023223128,32023224058,1
32023222588,32023224058,1
30955254527,32023223128,1
30051400708,43015594755,1
30788994757,30788995907,1
30940685037,45155708854,1
43763093760,44855644904,1
29760855017,43979872394,1
43815662310,44908750644,1
43649850240,45467037331,1
43872179412,43920779161,1
44828099504,45503112182,0
40582399783,40582400023,1
30754097917,44780425665,1
44780424615,44780425665,1
42889539900,43789677595,1
43015594755,43920779161,1
29604682708,43465047111,1
30679561207,43802917510,1
32721376157,40697483453,1
43802921380,44896101404,1
43015602315,43202384114,1
32023224668,32023225738,1
42757921514,43474547881,1
28434540197,32500117358,1
30679563297,43802920180,1
31974030678,44932189195,1
30788994757,30788994867,1
31692592417,39668814523,1
31974030678,31974031308,1
43950487000,45043117704,1
43202384114,43872179412,1
31748342048,43802921380,1
44794512515,44794513595,1
43015602315,43920779161,1
43802920180,44896101404,1
31927868748,44140597050,0
39745623493,44707925290,1
30639875137,30639877277,1
43802917510,44896101404,0
29433446727,43463077045,1
28587621467,43426278902,1
30869790687,44896561375,1
45140764791,45140769871,1
42569632555,42757921514,1
31974031308,44932189195,1
28984139387,30051825388,1
43015594755,43202384114,1
30692532407,44908754804,1
44828101844,45503111412,1
30655995687,45546685512,1
32023222588,32023222878,1
28587621467,43474547881,1
30869791377,30869792887,1
31841905058,43896090290,1
44780425135,44780425665,1
30051400708,43920779161,1
30773367207,31841905058,1
43015594755,43872179412,1
44908750644,44908754804,1
